#,License Code,Client,Email,Status
1,COMP-YQW5-MWGW,Client 1,client1@example.com,Active
2,COMP-5ZBA-OS8N,Client 2,client2@example.com,Active
3,COMP-AJE7-PNV0,Client 3,client3@example.com,Active
4,COMP-DSZX-PDP8,Client 4,client4@example.com,Active
5,COMP-6VP5-DSI6,Client 5,client5@example.com,Active
6,COMP-JF3N-6XHZ,Client 6,client6@example.com,Active
7,COMP-02X0-D7P3,Client 7,client7@example.com,Active
8,COMP-SJ4Y-5OG2,Client 8,client8@example.com,Active
9,COMP-L5FY-TU3G,Client 9,client9@example.com,Active
10,COMP-98MM-ILWH,Client 10,client10@example.com,Active
11,COMP-R68A-EARX,Client 11,client11@example.com,Active
12,COMP-N0JQ-GX72,Client 12,client12@example.com,Active
13,COMP-0RNW-7V8V,Client 13,client13@example.com,Active
14,COMP-6KM2-HRG2,Client 14,client14@example.com,Active
15,COMP-70GU-JFEE,Client 15,client15@example.com,Active
16,COMP-R68R-WZFD,Client 16,client16@example.com,Active
17,COMP-WFMO-LZWY,Client 17,client17@example.com,Active
18,COMP-NXYS-499B,Client 18,client18@example.com,Active
19,COMP-BVYE-COVY,Client 19,client19@example.com,Active
20,COMP-843R-FJYE,Client 20,client20@example.com,Active
21,COMP-K4K2-EG80,Client 21,client21@example.com,Active
22,COMP-5UO9-WZPC,Client 22,client22@example.com,Active
23,COMP-WANN-RPD1,Client 23,client23@example.com,Active
24,COMP-9O5M-2S3J,Client 24,client24@example.com,Active
25,COMP-Q6T4-7QQ6,Client 25,client25@example.com,Active
26,COMP-BN3H-CRVA,Client 26,client26@example.com,Active
27,COMP-8D85-9AX9,Client 27,client27@example.com,Active
28,COMP-WROU-JZ6H,Client 28,client28@example.com,Active
29,COMP-RMTV-BPVU,Client 29,client29@example.com,Active
30,COMP-VWEK-MQMQ,Client 30,client30@example.com,Active
31,COMP-AH9G-RGYV,Client 31,client31@example.com,Active
32,COMP-6WL8-7N2N,Client 32,client32@example.com,Active
33,COMP-M486-ZBUO,Client 33,client33@example.com,Active
34,COMP-1NRD-URN4,Client 34,client34@example.com,Active
35,COMP-SI6S-V5MD,Client 35,client35@example.com,Active
36,COMP-XP74-DHSF,Client 36,client36@example.com,Active
37,COMP-DHTO-826A,Client 37,client37@example.com,Active
38,COMP-MY3C-PCTD,Client 38,client38@example.com,Active
39,COMP-FLBJ-I3L6,Client 39,client39@example.com,Active
40,COMP-0D9J-9POW,Client 40,client40@example.com,Active
41,COMP-K964-JCJO,Client 41,client41@example.com,Active
42,COMP-X05U-ITVI,Client 42,client42@example.com,Active
43,COMP-IMLP-9GY6,Client 43,client43@example.com,Active
44,COMP-2KMI-VOHA,Client 44,client44@example.com,Active
45,COMP-ALUE-IUII,Client 45,client45@example.com,Active
46,COMP-HESI-DJBB,Client 46,client46@example.com,Active
47,COMP-CKFR-717H,Client 47,client47@example.com,Active
48,COMP-CWHV-5G83,Client 48,client48@example.com,Active
49,COMP-76H9-E7XI,Client 49,client49@example.com,Active
50,COMP-UED6-6BC7,Client 50,client50@example.com,Active
51,COMP-T5VT-8NL1,Client 51,client51@example.com,Active
52,COMP-M5UF-2JA7,Client 52,client52@example.com,Active
53,COMP-W0Y2-1H19,Client 53,client53@example.com,Active
54,COMP-DMS6-QEZZ,Client 54,client54@example.com,Active
55,COMP-RPMT-PP5M,Client 55,client55@example.com,Active
56,COMP-HSKV-FBPZ,Client 56,client56@example.com,Active
57,COMP-NGLT-OU1E,Client 57,client57@example.com,Active
58,COMP-R4QD-988S,Client 58,client58@example.com,Active
